artifact_type,name,status,namespace_prefix,api_version,path,lines,is_test,sharing_model,primary_object,trigger_events,has_rest_resource,has_invocable,has_aura_enabled,has_callout,has_named_credential,async_patterns,soql_count,sosl_count,dml_keyword_count,handler_class_refs,custom_object_refs,touchpoint_count,integration_score,summary
Class,CalloutHelper,Active,,57,config\apex-metadata-custom\classes\CalloutHelper.cls,44,N,,,,N,Y,N,Y,Y,,0,0,0,,,2,151,"CalloutHelper: Flow invocable, HTTP/callout logic"
Class,VantageApiInvoiceQuery,Active,,57,config\apex-metadata-custom\classes\VantageApiInvoiceQuery.cls,58,N,inherited sharing,,,N,Y,N,Y,N,,0,0,0,,Vantage_Invoice__c;Id__c;Reference__c;InvoiceDate__c;DueDate__c;BaseNetValue__c;BaseTotalValue__c;Account__c;Type__c;SubType__c,2,121,"VantageApiInvoiceQuery: Flow invocable, HTTP/callout logic"
Class,VantageApiInvoiceLinesQuery,Active,,58,config\apex-metadata-custom\classes\VantageApiInvoiceLinesQuery.cls,329,N,,,,N,Y,N,Y,N,,0,0,0,,Vantage_Invoice_Line__c;Owner_Serial_Number__c;Invoice_Id__c;Meter_Start_Date__c;Meter_End_Date__c;Meter_Class_Name__c;Owner_Part_Number__c;Owner_Description__c;Owner_Location__c;Type__c;Details__c;Is_Price_Increase__c;Price_Increase__c;Contract_Id__c;Contract_Reference__c;Install_Date__c;Period_Review_Date__c;Net_Charge__c;VAT_Charge__c;Total_Charge__c;Inclusive_Colour_Count__c;Colour_Readings__c;Colour_Previous__c;Colour_Charge__c;Inclusive_Mono_Count__c;Mono_Readings__c;Mono_Previous__c;Mono_Charge__c;Inclusive_Large_Colour_Count__c;Large_Colour_Readings__c,2,121,"VantageApiInvoiceLinesQuery: Flow invocable, HTTP/callout logic"
Trigger,OppSyncTrigger,Active,,25,config\apex-metadata-custom\triggers\OppSyncTrigger.trigger,183,N,,Opportunity,after update,N,N,N,N,N,,4,0,5,QuoteSyncUtil;TriggerStopper,,1,111,Trigger on Opportunity (after update)
Trigger,OppLineSyncTrigger,Active,,25,config\apex-metadata-custom\triggers\OppLineSyncTrigger.trigger,188,N,,OpportunityLineItem,"before insert,after insert,after update",N,N,N,N,N,,3,0,9,QuoteSyncUtil;TriggerStopper,,1,107,"Trigger on OpportunityLineItem (before insert,after insert,after update)"
Class,TPSChecker,Active,,57,config\apex-metadata-custom\classes\TPSChecker.cls,55,N,,,,N,N,N,Y,N,Database.Batchable,1,0,1,,Next_TPS_Check__c;Last_TPS_Checked__c;PhoneDNU__c,2,100,"TPSChecker: HTTP/callout logic, async=Database.Batchable"
Class,TPSCallout,Active,,57,config\apex-metadata-custom\classes\TPSCallout.cls,58,N,,,,N,N,N,Y,N,Database.Batchable,1,0,1,,TPS_Next_Check__c;TPS_Last_Checked__c;PhoneDNU__c;MobileDNU__c,2,100,"TPSCallout: HTTP/callout logic, async=Database.Batchable"
Trigger,dlrs_OpportunityTrigger,Active,,65,config\apex-metadata-custom\triggers\dlrs_OpportunityTrigger.trigger,8,N,,Opportunity,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,N,N,,0,0,7,,,0,99,"Trigger on Opportunity (before delete,before insert,before update,after delete,after insert,after undelete,after update)"
Class,PortalCertiniaReceiptApi,Active,,66,config\apex-metadata-custom\classes\PortalCertiniaReceiptApi.cls,56,N,with sharing,,,Y,N,N,N,N,,0,0,0,,,1,98,PortalCertiniaReceiptApi: REST endpoint
Class,HP_API_AccountService,Active,,65,config\apex-metadata-custom\classes\HP_API_AccountService.cls,49,N,,,,N,N,N,Y,N,,1,0,0,,HP_Configer__c;Access_Token__c,2,98,HP_API_AccountService: HTTP/callout logic
Class,HPAuthService,Active,,65,config\apex-metadata-custom\classes\HPAuthService.cls,66,N,,,,N,N,N,Y,N,,1,0,1,,HP_Configer__c;Access_Token__c;Token_Expiry__c,1,92,HPAuthService: HTTP/callout logic
Trigger,dlrs_OpportunityLineItemTrigger,Active,,65,config\apex-metadata-custom\triggers\dlrs_OpportunityLineItemTrigger.trigger,8,N,,OpportunityLineItem,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,N,N,,0,0,7,,,0,89,"Trigger on OpportunityLineItem (before delete,before insert,before update,after delete,after insert,after undelete,after update)"
Trigger,dlrs_AccountTrigger,Active,,65,config\apex-metadata-custom\triggers\dlrs_AccountTrigger.trigger,8,N,,Account,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,N,N,,0,0,7,,,0,84,"Trigger on Account (before delete,before insert,before update,after delete,after insert,after undelete,after update)"
Trigger,QuoteLineSyncTrigger,Active,,25,config\apex-metadata-custom\triggers\QuoteLineSyncTrigger.trigger,210,N,,QuoteLineItem,"before insert,after insert,after update",N,N,N,N,N,,3,0,10,QuoteSyncUtil;TriggerStopper,,1,84,"Trigger on QuoteLineItem (before insert,after insert,after update)"
Trigger,QuoteSyncTrigger,Active,,25,config\apex-metadata-custom\triggers\QuoteSyncTrigger.trigger,91,N,,Quote,"after insert,after update",N,N,N,N,N,,2,0,6,QuoteSyncUtil;TriggerStopper,,1,74,"Trigger on Quote (after insert,after update)"
Trigger,dlrs_c2godaInvoiceTrigger,Active,,65,config\apex-metadata-custom\triggers\dlrs_c2godaInvoiceTrigger.trigger,8,N,,c2g__codaInvoice__c,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,N,N,,0,0,7,,c2g__codaInvoice__c,0,64,"Trigger on c2g__codaInvoice__c (before delete,before insert,before update,after delete,after insert,after undelete,after update)"
Trigger,dlrs_AssetTrigger,Active,,65,config\apex-metadata-custom\triggers\dlrs_AssetTrigger.trigger,8,N,,Asset,"before delete,before insert,before update,after delete,after insert,after undelete,after update",N,N,N,N,N,,0,0,7,,,0,64,"Trigger on Asset (before delete,before insert,before update,after delete,after insert,after undelete,after update)"
Class,GenericObjectOperationBatchLauncher,Active,,60,config\apex-metadata-custom\classes\GenericObjectOperationBatchLauncher.cls,37,N,,,,N,Y,N,N,N,Database.executeBatch,0,0,8,,,2,57,"GenericObjectOperationBatchLauncher: Flow invocable, async=Database.executeBatch"
Class,ProductMergeService,Active,,65,config\apex-metadata-custom\classes\ProductMergeService.cls,322,N,with sharing,,,N,N,N,N,N,,3,0,20,,,0,46,ProductMergeService: utility/business logic class
Trigger,DisableFeedPostDeletes,Active,,21,config\apex-metadata-custom\triggers\DisableFeedPostDeletes.trigger,16,N,,FeedItem,before delete,N,N,N,N,N,,0,0,1,DisableChatterDeleteDelegate,,1,40,Trigger on FeedItem (before delete)
Trigger,DisableFeedCommentDeletes,Active,,21,config\apex-metadata-custom\triggers\DisableFeedCommentDeletes.trigger,11,N,,FeedComment,before delete,N,N,N,N,N,,0,0,1,DisableChatterDeleteDelegate,,1,40,Trigger on FeedComment (before delete)
Class,ResolveApprovalRequest,Active,,56,config\apex-metadata-custom\classes\ResolveApprovalRequest.cls,82,N,with sharing,,,N,Y,N,N,N,,1,0,0,,,1,35,ResolveApprovalRequest: Flow invocable
Class,AgxPayableInvoiceRelease,Active,,57,config\apex-metadata-custom\classes\AgxPayableInvoiceRelease.cls,27,N,with sharing,,,N,Y,N,N,N,,1,0,0,,c2g__codaPurchaseInvoice__c,1,35,AgxPayableInvoiceRelease: Flow invocable
Class,AgxPayableInvoiceHold,Active,,57,config\apex-metadata-custom\classes\AgxPayableInvoiceHold.cls,27,N,with sharing,,,N,Y,N,N,N,,1,0,0,,c2g__codaPurchaseInvoice__c,1,35,AgxPayableInvoiceHold: Flow invocable
Class,GenericObjectOperationBatch,Active,,60,config\apex-metadata-custom\classes\GenericObjectOperationBatch.cls,40,N,,,,N,N,N,N,N,Database.Batchable,0,0,13,,,1,34,GenericObjectOperationBatch: async=Database.Batchable
Class,DiscardInvoices,Active,,57,config\apex-metadata-custom\classes\DiscardInvoices.cls,28,N,,,,N,Y,N,N,N,,0,0,0,,,1,33,DiscardInvoices: Flow invocable
Class,BusinessHoursCalculator,Active,,59,config\apex-metadata-custom\classes\BusinessHoursCalculator.cls,26,N,with sharing,,,N,Y,N,N,N,,0,0,0,,,1,33,BusinessHoursCalculator: Flow invocable
Class,TPSCalloutTest,Active,,58,config\apex-metadata-custom\classes\TPSCalloutTest.cls,34,Y,,,,N,N,N,Y,N,Database.executeBatch,1,0,1,,TPS_Next_Check__c;TPS_Last_Checked__c;PhoneDNU__c;MobileDNU__c,2,30,"TPSCalloutTest: HTTP/callout logic, async=Database.executeBatch"
Class,AccountAssetDisposalController,Active,,58,config\apex-metadata-custom\classes\AccountAssetDisposalController.cls,183,N,with sharing,,,N,N,Y,N,N,,5,0,10,,Line_of_Business__c;fferpcore__Company__c;Company_ERP__c;Funding_Type__c;Service_Termination_Notice_Date__c;Loss_Reason__c;Collection_Required__c;Collection_Fee__c;Collection_Contact__c;Collection_Date__c;Device_Settlement__c;Settlement_Fee__c;MACD__c;Account__c;Opportunity__c;Status__c;fferpcore__Status__c;MACD_Line_Item__c;Asset__c;MACD_Type__c;Date_Meters_Captured__c;Mono_Meter_Reading__c;Large_Mono_Readings__c;XLS_Meter_Readings__c;Colour_Meter_Readings__c;Large_Colour_Readings__c;XLS_Colour_Meter_Readings__c;Total_Impressions__c,0,30,AccountAssetDisposalController: utility/business logic class
Class,AssetDisposalWizardController,Active,,58,config\apex-metadata-custom\classes\AssetDisposalWizardController.cls,171,N,with sharing,,,N,N,Y,N,N,,5,0,7,,Line_of_Business__c;fferpcore__Company__c;Company_ERP__c;Funding_Type__c;MACD__c;Account__c;Opportunity__c;Status__c;MACD_Line_Item__c;Asset__c;MACD_Type__c;Date_Meters_Captured__c;Mono_Meter_Reading__c;Large_Mono_Readings__c;XLS_Meter_Readings__c;Colour_Meter_Readings__c;Large_Colour_Readings__c;XLS_Colour_Meter_Readings__c;Total_Impressions__c,0,24,AssetDisposalWizardController: utility/business logic class
Class,TPSCheckerScheduler,Active,,57,config\apex-metadata-custom\classes\TPSCheckerScheduler.cls,8,N,,,,N,N,N,N,N,Schedulable;Database.executeBatch,0,0,0,,,2,16,TPSCheckerScheduler: async=Schedulable;Database.executeBatch
Class,AutomaticCashMatching,Active,,58,config\apex-metadata-custom\classes\AutomaticCashMatching.cls,66,N,with sharing,,,N,N,Y,N,N,,2,0,4,,c2g__codaCashEntry__c;c2g__Reference__c;c2g__Value__c;c2g__Account__c;c2g__Status__c;c2g__codaInvoice__c;c2g__OutstandingValue__c;c2g__InvoiceStatus__c,0,12,AutomaticCashMatching: utility/business logic class
Class,QuoteSyncTestSuite,Active,,23,config\apex-metadata-custom\classes\QuoteSyncTestSuite.cls,2003,Y,,,,N,N,N,N,N,,24,0,54,,,0,10,QuoteSyncTestSuite: utility/business logic class
Class,QuickLightningLookupController,Active,,55,config\apex-metadata-custom\classes\QuickLightningLookupController.cls,195,N,with sharing,,,N,N,Y,N,N,,3,0,1,,,0,8,QuickLightningLookupController: utility/business logic class
Class,ShowProductsController,Active,,55,config\apex-metadata-custom\classes\ShowProductsController.cls,27,N,,,,N,N,Y,N,N,,2,0,0,,Product_Groups__c;Sub_Product__c;Product_Code__c;ProductCode__c;Quantity__c,0,4,ShowProductsController: utility/business logic class
Class,ShowAssets,Active,,55,config\apex-metadata-custom\classes\ShowAssets.cls,22,N,,,,N,N,Y,N,N,,2,0,0,,Site_Account__c,0,4,ShowAssets: utility/business logic class
Class,ShowAccessoriesManagedServices2Assign,Active,,55,config\apex-metadata-custom\classes\ShowAccessoriesManagedServices2Assign.cls,23,N,with sharing,,,N,N,Y,N,N,,2,0,0,,Sub_Product__c;Quantity__c,0,4,ShowAccessoriesManagedServices2Assign: utility/business logic class
Class,ShippingLabelController,Active,,55,config\apex-metadata-custom\classes\ShippingLabelController.cls,124,N,,,,N,N,N,N,N,,2,0,0,,SCMC__Shipping__c;SCMC__Pick_list_Detail__c;SCMC__Quantity__c;SCMC__Sales_Order_Line_Item__c;SCMC__Unit_of_Measure__c;SCMC__Condition_Code__c;SCMC__Item_Description__c;SCMC__Shipper__c;SCMC__Location__c;Position_In_Warehouse__c;Lot_and_Serial_Numbers__c;SCMC__Serial_Number__c,0,4,ShippingLabelController: utility/business logic class
Class,MassDeleteExtension,Active,,38,config\apex-metadata-custom\classes\MassDeleteExtension.cls,22,N,with sharing,,,N,N,N,N,N,,0,0,2,,,0,4,MassDeleteExtension: utility/business logic class
Class,AccountUpdater,Active,,64,config\apex-metadata-custom\classes\AccountUpdater.cls,12,N,with sharing,,,N,N,Y,N,N,,1,0,1,,,0,4,AccountUpdater: utility/business logic class
Class,xerTransController,Active,,54,config\apex-metadata-custom\classes\xerTransController.cls,24,N,,,,N,N,N,N,N,,1,0,0,,c2g__codaTransactionLineItem__c;c2g__Account__c;c2g__TransactionDate__c;c2g__TransactionType__c;c2g__DocumentTotal__c;c2g__DocumentReference__c;c2g__DocumentDescription__c;c2g__DocumentValue__c;c2g__HomeOutstandingValue__c;c2g__DaysOverdue__c;c2g__DocumentNumber__c;Transaction_Age__c;c2g__HomeValue__c,0,2,xerTransController: utility/business logic class
Class,agxBankHoliday,Active,,59,config\apex-metadata-custom\classes\agxBankHoliday.cls,58,N,,,,N,N,N,N,N,,1,0,0,,,0,2,agxBankHoliday: utility/business logic class
Class,DisableChatterDeleteDelegate,Active,,21,config\apex-metadata-custom\classes\DisableChatterDeleteDelegate.cls,26,N,,,,N,N,N,N,N,,1,0,0,,Chatter_Delete_Settings__c;Allow_Feed_Post_and_Comment_deletes__c,0,2,DisableChatterDeleteDelegate: utility/business logic class
Class,CommissionPaymentController,Active,,57,config\apex-metadata-custom\classes\CommissionPaymentController.cls,10,N,with sharing,,,N,N,Y,N,N,,1,0,0,,Commission_Payment__c;Suggested_Payment__c;Opportunity__c;Salesperson__c,0,2,CommissionPaymentController: utility/business logic class
Class,xerTransControllerTest,Active,,54,config\apex-metadata-custom\classes\xerTransControllerTest.cls,24,Y,,,,N,N,N,N,N,,1,0,0,,c2g__codaTransactionLineItem__c,0,0,xerTransControllerTest: utility/business logic class
Class,dlrs_c2godaInvoiceTest,Active,,65,config\apex-metadata-custom\classes\dlrs_c2godaInvoiceTest.cls,31,Y,,,,N,N,N,N,N,,1,0,2,,c2g__codaCompany__c;c2g__codaInvoice__c;c2g__OwnerCompany__c;c2g__Account__c,0,0,dlrs_c2godaInvoiceTest: utility/business logic class
Class,dlrs_OpportunityTest,Active,,65,config\apex-metadata-custom\classes\dlrs_OpportunityTest.cls,40,Y,,,,N,N,N,N,N,,0,0,4,,SCMC__Active__c;SCMC__Customer__c;SCMC__E_Mail__c;Approval_Status__c;Notifiy__c;Company_ERP__c;Lines_Of_Business__c;Estimated_Costs__c;Estimated_Revenue__c,0,0,dlrs_OpportunityTest: utility/business logic class
Class,dlrs_OpportunityLineItemTest,Active,,65,config\apex-metadata-custom\classes\dlrs_OpportunityLineItemTest.cls,13,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,dlrs_OpportunityLineItemTest: utility/business logic class
Class,dlrs_AssetTest,Active,,65,config\apex-metadata-custom\classes\dlrs_AssetTest.cls,13,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,dlrs_AssetTest: utility/business logic class
Class,dlrs_AccountTest,Active,,65,config\apex-metadata-custom\classes\dlrs_AccountTest.cls,15,Y,,,,N,N,N,N,N,,0,0,1,,,0,0,dlrs_AccountTest: utility/business logic class
Class,agxBankHolidayTest,Active,,59,config\apex-metadata-custom\classes\agxBankHolidayTest.cls,14,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,agxBankHolidayTest: utility/business logic class
Class,VantageApiInvoiceQueryTest,Active,,58,config\apex-metadata-custom\classes\VantageApiInvoiceQueryTest.cls,48,Y,,,,N,N,N,N,N,,0,0,0,,Vantage_Invoice__c;Id__c;Reference__c;InvoiceDate__c;DueDate__c;BaseNetValue__c;BaseTotalValue__c;Account__c;Type__c;SubType__c,0,0,VantageApiInvoiceQueryTest: utility/business logic class
Class,VantageApiInvoiceLinesQueryTest,Active,,58,config\apex-metadata-custom\classes\VantageApiInvoiceLinesQueryTest.cls,57,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,VantageApiInvoiceLinesQueryTest: utility/business logic class
Class,TriggerStopper,Active,,25,config\apex-metadata-custom\classes\TriggerStopper.cls,6,N,,,,N,N,N,N,N,,0,0,0,,,0,0,TriggerStopper: utility/business logic class
Class,TestShippingLabelController,Active,,55,config\apex-metadata-custom\classes\TestShippingLabelController.cls,54,Y,with sharing,,,N,N,N,N,N,,1,0,4,,SCMC__Shipping__c;SCMC__Pick_list_Detail__c;SCMC__Sales_Order__c;SCMC__Package_Type__c;SCMC__Picklist__c;SCMC__Shipper__c;SCMC__Quantity__c,0,0,TestShippingLabelController: utility/business logic class
Class,TestAgxPayableInvoiceRelease,Active,,57,config\apex-metadata-custom\classes\TestAgxPayableInvoiceRelease.cls,46,Y,,,,N,N,N,N,N,,4,0,0,,c2g__codaPurchaseInvoice__c;c2g__PaymentStatus__c;c2g__HoldStatus__c;c2g__InvoiceStatus__c,0,0,TestAgxPayableInvoiceRelease: utility/business logic class
Class,TPSCheckerTest,Active,,64,config\apex-metadata-custom\classes\TPSCheckerTest.cls,50,Y,,,,N,N,N,N,N,Database.executeBatch,1,0,1,,Next_TPS_Check__c;Last_TPS_Checked__c;PhoneDNU__c,1,0,TPSCheckerTest: async=Database.executeBatch
Class,TPSCheckerSchedulerTest,Active,,58,config\apex-metadata-custom\classes\TPSCheckerSchedulerTest.cls,41,Y,,,,N,N,N,N,N,System.schedule,0,0,2,,Next_TPS_Check__c,1,0,TPSCheckerSchedulerTest: async=System.schedule
Class,ShowProductsControllerTest,Active,,55,config\apex-metadata-custom\classes\ShowProductsControllerTest.cls,46,Y,,,,N,N,N,N,N,,0,0,5,,c2g__codaGeneralLedgerAccount__c;c2g__ReportingCode__c;c2g__Type__c;Product_Category__c;Category__c;GRNI_Accrual_Account__c;Cost_Of_Sales__c;Purchase_Analysis_Account__c;Inventory_GL_Code__c;Sales_Revenue_Account__c;Manufacturer__c;Product_Sub_Type__c;Product_Groups__c;Sub_Product__c,0,0,ShowProductsControllerTest: utility/business logic class
Class,ShowAssetsTest,Active,,55,config\apex-metadata-custom\classes\ShowAssetsTest.cls,52,Y,,,,N,N,N,N,N,,0,0,5,,,0,0,ShowAssetsTest: utility/business logic class
Class,ResolveApprovalRequestsTest,Active,,57,config\apex-metadata-custom\classes\ResolveApprovalRequestsTest.cls,36,Y,with sharing,,,N,N,N,N,N,,3,0,0,,,0,0,ResolveApprovalRequestsTest: utility/business logic class
Class,QuoteSyncUtil,Active,,25,config\apex-metadata-custom\classes\QuoteSyncUtil.cls,303,N,,,,N,N,N,N,N,,0,0,0,,custom_text__c;custom_checkbox__c;custom_currency__c;custom_date__c;custom_datetime__c;custom_email__c;custom_multipicklist__c;custom_number__c;custom_percent__c;custom_phone__c;custom_picklist__c;custom_rta__c;custom_url__c;QuoteSyncField__c;OppSyncField__c;QuoteLineSyncField__c;OppLineSyncField__c,0,0,QuoteSyncUtil: utility/business logic class
Class,QuickLightningLookupControllerTest,Active,,55,config\apex-metadata-custom\classes\QuickLightningLookupControllerTest.cls,49,Y,,,,N,N,N,N,N,,0,0,2,,,0,0,QuickLightningLookupControllerTest: utility/business logic class
Class,MassDeleteExtensionTest,Active,,38,config\apex-metadata-custom\classes\MassDeleteExtensionTest.cls,23,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,MassDeleteExtensionTest: utility/business logic class
Class,GenericObjectOperationBatchTest,Active,,64,config\apex-metadata-custom\classes\GenericObjectOperationBatchTest.cls,89,Y,,,,N,N,N,N,N,Database.executeBatch,5,0,19,,,1,0,GenericObjectOperationBatchTest: async=Database.executeBatch
Class,DiscardInvoicesTest,Active,,58,config\apex-metadata-custom\classes\DiscardInvoicesTest.cls,20,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,DiscardInvoicesTest: utility/business logic class
Class,DisableChatterDeletesTestSuite,Active,,21,config\apex-metadata-custom\classes\DisableChatterDeletesTestSuite.cls,288,Y,,,,N,N,N,N,N,,10,0,51,,Chatter_Delete_Settings__c;Allow_Feed_Post_And_Comment_deletes__c,0,0,DisableChatterDeletesTestSuite: utility/business logic class
Class,ConductorFromListViewControllerTest,Active,,54,config\apex-metadata-custom\classes\ConductorFromListViewControllerTest.cls,39,Y,with sharing,,,N,N,N,N,N,,1,0,1,,Email_Sales_Invoice__c,0,0,ConductorFromListViewControllerTest: utility/business logic class
Class,ConductorFromListViewController,Active,,54,config\apex-metadata-custom\classes\ConductorFromListViewController.cls,27,N,,,,N,N,N,N,N,,0,0,0,,Email_Sales_Invoice__c,0,0,ConductorFromListViewController: utility/business logic class
Class,CommissionPaymentControllerTest,Active,,58,config\apex-metadata-custom\classes\CommissionPaymentControllerTest.cls,9,Y,,,,N,N,N,N,N,,0,0,0,,Commission_Payment__c,0,0,CommissionPaymentControllerTest: utility/business logic class
Class,CalloutHelperTest,Active,,58,config\apex-metadata-custom\classes\CalloutHelperTest.cls,35,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,CalloutHelperTest: utility/business logic class
Class,BusinessHoursCalculatorTest,Active,,59,config\apex-metadata-custom\classes\BusinessHoursCalculatorTest.cls,17,Y,,,,N,N,N,N,N,,0,0,0,,,0,0,BusinessHoursCalculatorTest: utility/business logic class
Class,AgxPayableInvoiceHoldTest2,Active,,57,config\apex-metadata-custom\classes\AgxPayableInvoiceHoldTest2.cls,34,Y,,,,N,N,N,N,N,,4,0,0,,c2g__codaPurchaseInvoice__c;SCMFFA__AP_Voucher__c;c2g__InvoiceStatus__c;c2g__PaymentStatus__c;c2g__HoldStatus__c,0,0,AgxPayableInvoiceHoldTest2: utility/business logic class
