"flow_developer_name","flow_id","version_number","process_type","trigger_object","trigger_type","entry_criteria_present","entry_criteria_summary","action_call_count","apex_plugin_call_count","subflow_count","touchpoint_count","external_candidate_touchpoint_count"
"FFX_SM_Product_Product_Group_PB","3014K000000545GQAQ","2","Workflow","Product2","onAllChanges","Y","myVariable_current.IsActive EqualTo True; myVariable_current.c2g__CODAPurchaseAnalysisAccount__c IsNull False; myVariable_current.ION_Is_Stock_Item__c EqualTo True; myVariable_current.link_OPIProdGrp_Id__r.Id IsNull True","4","0","0","4","4"
"Vantage_Invoices","301Px000005eBLHIA2","4","AutoLaunchedFlow","","","Y","Get_Vantage_Invoices IsNull False","3","0","0","3","3"
"All_Companies_House_Check","301Px00000AMhrmIAD","3","Flow","","","Y","AccountName NotEqualTo; BillingCity NotEqualTo; BillingCountry NotEqualTo; BillingPostalCode NotEqualTo","2","0","0","2","2"
"Compliance_Approval_Flow","301Ae00000qk42qIAA","19","AutoLaunchedFlow","Opportunity","","Y","orderCreationInput EqualTo Create","5","0","1","6","2"
"Demo_Run_Decision_Action","301Ae00000lKiDrIAK","2","Flow","","","Y","Loop_over_trees.treeId EqualTo Default_decision_tree","2","0","0","2","2"
"Reject_Opp","3018e0000008d1RAAQ","2","AutoLaunchedFlow","Opportunity","","Y","decision EqualTo Reject","5","0","0","5","2"
"SM_Account_Supplier_Site_PB","301Ae00000nXACUIA4","4","AutoLaunchedFlow","Account","RecordAfterSave","Y","formula_TRUE_myRule_1 EqualTo True","2","0","0","2","2"
"Agilyx_Payable_Invoice_on_Hold_Release","3018e0000008dZJAAY","1","AutoLaunchedFlow","c2g__codaPurchaseInvoice__c","RecordAfterSave","Y","logic=and; SCMFFA__AP_Voucher__c IsNull False; c2g__InvoiceStatus__c EqualTo Complete; Agx_Partial_PO_with_Full_Invoice__c EqualTo True","1","0","0","1","1"
"Agilyx_Purchase_Order_Trigger_to_Release_Payable_Invoice","3018e0000008dZKAAY","1","AutoLaunchedFlow","SCMC__Purchase_Order__c","RecordAfterSave","Y","logic=and; SCMC__Status__c EqualTo Closed","1","0","0","1","1"
"Analysis_Synchronisation_Dimension_1","3014K000000UyWqQAK","1","Workflow","c2g__codaDimension1__c","onAllChanges","Y","formula_myRule_1 EqualTo True","1","0","0","1","1"
"Analysis_Synchronisation_Dimension_2","3014K000000UyWrQAK","1","Workflow","c2g__codaDimension2__c","onAllChanges","Y","formula_myRule_1 EqualTo True","1","0","0","1","1"
"Analysis_Synchronisation_Dimension_3","3014K000000UyWsQAK","1","Workflow","c2g__codaDimension3__c","onAllChanges","Y","formula_myRule_1 EqualTo True","1","0","0","1","1"
"Analysis_Synchronisation_Dimension_4","3014K000000UyWtQAK","1","Workflow","c2g__codaDimension4__c","onAllChanges","Y","formula_myRule_1 EqualTo True","1","0","0","1","1"
"Call_Foundations_Billing_PB","3014K000000545EQAQ","1","Workflow","SCMC__Invoicing__c","onAllChanges","Y","myVariable_old IsNull False; myVariable_old.ION_Bill_To_FFA__c NotEqualTo myVariable_current.ION_Bill_To_FFA__c","1","0","0","1","1"
"Create_Commission_Opp_Split","301Px00000TxuTuIAJ","6","AutoLaunchedFlow","OpportunitySplit","RecordAfterSave","Y","$Record.Opportunity.CloseDate LessThanOrEqualTo 2023-02-28; $Record.SplitOwner.LastName EqualTo Sangster","1","0","1","2","1"
"Discard_Documents","3018e0000008kUHAAY","1","Flow","","","N","","1","0","0","1","1"
"FFXSCM_Process_Invoice_Lines","301Px00000SoMlBIAV","4","AutoLaunchedFlow","SCMC__Invoice_Line_Item__c","","Y","varFirst EqualTo True","1","0","0","1","1"
"ION_CreateSalesOrder_PB","3014K000000hBfHQAU","1","Workflow","Opportunity","onAllChanges","Y","myVariable_old IsNull False; myVariable_old.IWM_Sales_Order_Type__c NotEqualTo myVariable_current.IWM_Sales_Order_Type__c","2","0","0","2","1"
"ION_CreateSalesOrder_PB_2","301Px00000Q4otpIAB","5","AutoLaunchedFlow","Opportunity","RecordAfterSave","Y","logic=and; StageName EqualTo Closed Won; IWM_Sales_Order_Req__c EqualTo True; link_Opp2SO_State__c NotEqualTo Ok","1","0","0","1","1"
"Opportunity_Compliance_Calculation","301Px00000PtHTLIA3","5","AutoLaunchedFlow","Opportunity","RecordAfterSave","Y","logic=and; Approval_Status__c EqualTo Approved","1","0","0","1","1"
"Parent_MACD_Add","301Px00000TqXaMIAV","6","Flow","","","Y","Add_Accessories EqualTo Yes","1","0","1","2","1"
"Tax_Code","3014K000000UyXJQA0","1","Workflow","c2g__codaTaxCode__c","onAllChanges","Y","formula_myRule_1 EqualTo True","1","0","0","1","1"
"Tax_Rate_Synchronisation","3014K000000UyXKQA0","1","Workflow","c2g__codaTaxRate__c","onAllChanges","Y","formula_myRule_1 EqualTo True","1","0","0","1","1"
"Technical_Evaluation","301Px00000MeDUvIAN","11","Flow","Opportunity","","Y","decision EqualTo Approve","2","0","1","3","1"
"UpdateCompanyTaxInformation","3014K000000UyXLQA0","1","Workflow","fferpcore__CompanyTaxInformation__c","onCreateOnly","Y","formula_myRule_1 EqualTo True","1","0","0","1","1"
